0	1000	1500	2000	2500	3000	3500	4000	4500	5000
1	0.9	1	2.9	4.3	7.3	34.3	51.6	180.2	257.8
1.25	0.8	1	2.7	4.1	7.3	36.8	57.7	188.6	267.6
1.5	0.7	1.1	2.4	3.9	7.4	39.6	63.7	197.1	277.1
1.75	0.6	1.2	2.2	3.7	7.5	42.8	69.6	205.5	286.3
2	0.6	1.3	2.1	3.7	7.7	46.2	75.2	213.9	295.2
2.25	0.6	1.5	2.2	3.8	7.9	50.4	80.6	222	304.3
2.5	0.6	1.7	2.4	3.9	8.4	55.4	85.9	230	313.3
2.75	0.6	2.1	2.7	4.2	9	60.2	91	238.1	321.6
3	0.6	2.5	3.1	4.5	9.7	64	96.3	247	328.4
3.25	0.7	3	3.6	5.4	11.2	66.7	101.5	257.7	333.1
3.5	1.1	3.8	4.5	7	13.8	69	106.7	270.4	336.7
3.75	1.5	4.6	5.5	8.9	16.6	71	112	282.3	340.5
4	2	5.5	6.5	10.6	18.9	72.8	117.7	290.9	346
4.25	2.5	6.2	7.4	11.9	20.4	74.3	123.5	295.6	356.5
4.5	3.2	6.9	8.3	13.2	21.5	75.7	129.2	298.9	373
4.75	3.9	7.7	9.2	14.5	22.8	76.9	135.9	302.3	391.8
5	4.7	8.7	10.4	16	24.4	78.1	144.4	307.3	409.2
5.25	5.3	10.1	11.8	17.5	27.1	79.1	158.1	316.5	425.2
5.5	5.9	11.8	13.4	19.2	30.8	79.9	178.3	329.6	441.2
5.75	6.8	13.9	15.3	21	35	80.8	200.9	344.1	457.4
6	8.2	16.3	17.2	22.9	39	82.2	221.3	357.3	474
6.25	18.6	19	19.1	24.8	42.9	85.6	240.7	368.9	492.1
6.5	36.4	22.1	21.1	27	46.8	91.5	261	380.2	511.5
6.75	53.9	25.7	23.2	29	50.7	98.5	277.7	391.1	530.1
7	63.2	29.9	25.4	30.8	54.3	105.2	286.2	401.4	545.7
7.25	63.4	35.3	27.8	32.1	57.5	111	287.9	411.2	558.7
7.5	63.3	42.1	30.5	33.1	60.7	116.7	288.9	420.6	570.7
7.75	63.1	49.1	32.9	34.2	63.6	122.9	289.7	429.5	580.9
8	62.8	55.1	34.7	35.5	66	130.2	291.2	437.9	588.2
8.25	61.4	59.9	35.9	37.3	67.9	140.6	295.3	446.6	593.1
8.5	57.1	64.2	36.6	39.5	69.3	153.9	302.4	455.4	597.5
8.75	50.7	68.1	37.5	42	70.7	166.7	311	462.8	600.9
9	42.6	71.8	38.6	44.5	72.9	175.3	319.2	467.3	602.8
9.25	33.5	75.5	40.3	46.8	76.9	179.3	326.9	470.2	602.8
9.5	33.5	79.2	42.7	49.1	83.7	182	334.9	472.7	602.8
9.75	33.5	83	45.7	51.7	91.9	184.6	342.8	474.7	602.8
10	33.5	87.2	49.3	54.8	100.6	188.4	350.1	476.2	602.8
10.25	33.5	91.9	55.1	59	109.6	195.9	356.8	476.9	602.8
10.5	33.5	97.2	64.6	64.3	119.6	208	363.2	476.9	602.8
10.75	33.5	102.9	76.6	70	130.7	223.3	369.4	476.9	602.8
11	33.5	108.6	90.1	75.6	142.7	240.5	375.4	476.9	602.8
11.25	33.5	114.1	103.8	80.4	156.1	258.1	381.1	476.9	602.8
11.5	33.5	119.2	116.8	85	171.5	274.7	386.5	476.9	602.8
11.75	33.5	123.6	127.9	90.2	188.1	288.9	391.5	476.9	602.8
12	33.5	127	135.9	97.2	205.5	299.3	396.1	476.9	602.8
12.25	33.5	129.6	141.3	108.8	223.1	306.5	396.1	476.9	602.8
12.5	33.5	132.2	145.7	125.9	240.3	313.5	396.1	476.9	602.8
12.75	33.5	134.7	149.5	145.4	256.5	320.2	396.1	476.9	602.8
13	33.5	136.9	152.9	164.2	271.2	326.3	396.1	476.9	602.8
13.25	33.5	138.7	156.1	183	286.2	331.7	396.1	476.9	602.8
13.5	33.5	140.1	159.5	202.8	301.8	336.2	396.1	476.9	602.8
13.75	33.5	141	163.4	221.4	314.8	339.6	396.1	476.9	602.8
14	33.5	141.3	168.1	236.5	322.3	341.7	396.1	476.9	602.8
14.25	33.5	140.8	174.1	249.6	324.4	341.7	396.1	476.9	602.8
14.5	33.5	139.6	181.5	262.6	326	341.7	396.1	476.9	602.8
14.75	33.5	137.8	190	275.2	327.4	341.7	396.1	476.9	602.8
15	33.5	135.3	198.8	286.8	328.4	341.7	396.1	476.9	602.8
15.25	33.5	132.2	207.4	296.8	329.2	341.7	396.1	476.9	602.8
15.5	33.5	128.5	215.4	304.7	329.7	341.7	396.1	476.9	602.8
15.75	33.5	124.4	222.1	309.9	330	341.7	396.1	476.9	602.8
16	33.5	124.4	227	312	330	341.7	396.1	476.9	602.8
16.25	33.5	124.4	230.6	312	330	341.7	396.1	476.9	602.8
16.5	33.5	124.4	234.2	311.7	330	341.7	396.1	476.9	602.8
16.75	33.5	124.4	237.6	310.8	330	341.7	396.1	476.9	602.8
17	33.5	124.4	240.7	309.1	330	341.7	396.1	476.9	602.8
17.25	33.5	124.4	243.6	306.2	330	341.7	396.1	476.9	602.8
17.5	33.5	124.4	246.2	306.2	330	341.7	396.1	476.9	602.8
17.75	33.5	124.4	248.3	306.2	330	341.7	396.1	476.9	602.8
18	33.5	124.4	250	306.2	330	341.7	396.1	476.9	602.8
18.25	33.5	124.4	251.1	306.2	330	341.7	396.1	476.9	602.8
18.5	33.5	124.4	251.7	306.2	330	341.7	396.1	476.9	602.8
